KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
HWSAquaTurretCVT1,HWSAquaTurretCVT1,
HWSAquaTurretCVT2,HWSAquaTurretCVT2,
HWSAquaTurretCVT3,HWSAquaTurretCVT3,
HWSAquaTurretCVT4,HWSAquaTurretCVT4,
HWSTerraTurretCVBlocks,HWSTerraTurretCVBlocks,
HWSTerraTurretCVT1,HWSTerraTurretCVT1,
HWSTerraTurretCVT2,HWSTerraTurretCVT2,
HWSTerraTurretCVT3,HWSTerraTurretCVT3,
HWSTerraTurretCVT4,HWSTerraTurretCVT4,
HWSPyroTurretCVBlocks,HWSPyroTurretCVBlocks,
HWSPyroTurretCVT1,HWSPyroTurretCVT1,
HWSPyroTurretCVT2,HWSPyroTurretCVT2,
HWSPyroTurretCVT3,HWSPyroTurretCVT3,
HWSPyroTurretCVT4,HWSPyroTurretCVT4,
HWSObsidianTurretCVBlocks,HWSObsidianTurretCVBlocks,
HWSObsidianTurretCVT1,HWSObsidianTurretCVT1,
HWSObsidianTurretCVT2,HWSObsidianTurretCVT2,
HWSObsidianTurretCVT3,HWSObsidianTurretCVT3,
HWSObsidianTurretCVT4,HWSObsidianTurretCVT4,
HWSLuxTurretCVBlocks,HWSLuxTurretCVBlocks,
HWSLuxTurretCVT1,HWSLuxTurretCVT1,
HWSLuxTurretCVT2,HWSLuxTurretCVT2,
HWSLuxTurretCVT3,HWSLuxTurretCVT3,
HWSLuxTurretCVT4,HWSLuxTurretCVT4,
HWSNoxTurretCVBlocks,HWSNoxTurretCVBlocks,
HWSNoxTurretCVT1,HWSNoxTurretCVT1,
HWSNoxTurretCVT2,HWSNoxTurretCVT2,
HWSNoxTurretCVT3,HWSNoxTurretCVT3,
HWSNoxTurretCVT4,HWSNoxTurretCVT4,
HWSStrangeletTurretCVBlocks,HWSStrangeletTurretCVBlocks,
HWSStrangeletTurretCVT1,HWSStrangeletTurretCVT1,
HWSStrangeletTurretCVT2,HWSStrangeletTurretCVT2,
HWSStrangeletTurretCVT3,HWSStrangeletTurretCVT3,
HWSStrangeletTurretCVT4,HWSStrangeletTurretCVT4,
HWSChaosTurretCVBlocks,HWSChaosTurretCVBlocks,
HWSAquaChaosTurretCV,HWSAquaChaosTurretCV,
HWSTerraChaosTurretCV,HWSTerraChaosTurretCV,
HWSPyroChaosTurretCV,HWSPyroChaosTurretCV,
HWSObsidianChaosTurretCV,HWSObsidianChaosTurretCV,
HWSLuxChaosTurretCV,HWSLuxChaosTurretCV,
HWSNoxChaosTurretCV,HWSNoxChaosTurretCV,
HWSStrangeletChaosTurretCV,HWSStrangeletChaosTurretCV,
HWSAquaGunCVBlocks,HWSAquaGunCVBlocks,
HWSAquaGunCVT1,HWSAquaGunCVT1,
HWSAquaGunCVT2,HWSAquaGunCVT2,
HWSAquaGunCVT3,HWSAquaGunCVT3,
HWSTerraGunCVBlocks,HWSTerraGunCVBlocks,
HWSTerraGunCVT1,HWSTerraGunCVT1,
HWSTerraGunCVT2,HWSTerraGunCVT2,
HWSTerraGunCVT3,HWSTerraGunCVT3,
HWSPyroGunCVBlocks,HWSPyroGunCVBlocks,
HWSPyroGunCVT1,HWSPyroGunCVT1,
HWSPyroGunCVT2,HWSPyroGunCVT2,
HWSPyroGunCVT3,HWSPyroGunCVT3,
HWSObsidianGunCVBlocks,HWSObsidianGunCVBlocks,
HWSObsidianGunCVT1,HWSObsidianGunCVT1,
HWSObsidianGunCVT2,HWSObsidianGunCVT2,
HWSObsidianGunCVT3,HWSObsidianGunCVT3,
HWSLuxGunCVBlocks,HWSLuxGunCVBlocks,
HWSLuxGunCVT1,HWSLuxGunCVT1,
HWSLuxGunCVT2,HWSLuxGunCVT2,
HWSLuxGunCVT3,HWSLuxGunCVT3,
HWSNoxGunCVBlocks,HWSNoxGunCVBlocks,
HWSNoxGunCVT1,HWSNoxGunCVT1,
HWSNoxGunCVT2,HWSNoxGunCVT2,
HWSNoxGunCVT3,HWSNoxGunCVT3,
HWSStrangeletGunCVBlocks,HWSStrangeletGunCVBlocks,
HWSStrangeletGunCVT1,HWSStrangeletGunCVT1,
HWSStrangeletGunCVT2,HWSStrangeletGunCVT2,
HWSStrangeletGunCVT3,HWSStrangeletGunCVT3,
HWSAquaTurretHVBlocks,HWSAquaTurretHVBlocks,
HWSAquaTurretHVT1,HWSAquaTurretHVT1,
HWSAquaTurretHVT2,HWSAquaTurretHVT2,
HWSAquaTurretHVT3,HWSAquaTurretHVT3,
HWSAquaTurretHVT4,HWSAquaTurretHVT4,
HWSTerraTurretHVBlocks,HWSTerraTurretHVBlocks,
HWSTerraTurretHVT1,HWSTerraTurretHVT1,
HWSTerraTurretHVT2,HWSTerraTurretHVT2,
HWSTerraTurretHVT3,HWSTerraTurretHVT3,
HWSTerraTurretHVT4,HWSTerraTurretHVT4,
HWSPyroTurretHVBlocks,HWSPyroTurretHVBlocks,
HWSPyroTurretHVT1,HWSPyroTurretHVT1,
HWSPyroTurretHVT2,HWSPyroTurretHVT2,
HWSPyroTurretHVT3,HWSPyroTurretHVT3,
HWSPyroTurretHVT4,HWSPyroTurretHVT4,
HWSObsidianTurretHVBlocks,HWSObsidianTurretHVBlocks,
HWSObsidianTurretHVT1,HWSObsidianTurretHVT1,
HWSObsidianTurretHVT2,HWSObsidianTurretHVT2,
HWSObsidianTurretHVT3,HWSObsidianTurretHVT3,
HWSObsidianTurretHVT4,HWSObsidianTurretHVT4,
HWSLuxTurretHVBlocks,HWSLuxTurretHVBlocks,
HWSLuxTurretHVT1,HWSLuxTurretHVT1,
HWSLuxTurretHVT2,HWSLuxTurretHVT2,
HWSLuxTurretHVT3,HWSLuxTurretHVT3,
HWSLuxTurretHVT4,HWSLuxTurretHVT4,
HWSNoxTurretHVBlocks,HWSNoxTurretHVBlocks,
HWSNoxTurretHVT1,HWSNoxTurretHVT1,
HWSNoxTurretHVT2,HWSNoxTurretHVT2,
HWSNoxTurretHVT3,HWSNoxTurretHVT3,
HWSNoxTurretHVT4,HWSNoxTurretHVT4,
HWSStrangeletTurretHVBlocks,HWSStrangeletTurretHVBlocks,
HWSStrangeletTurretHVT1,HWSStrangeletTurretHVT1,
HWSStrangeletTurretHVT2,HWSStrangeletTurretHVT2,
HWSStrangeletTurretHVT3,HWSStrangeletTurretHVT3,
HWSStrangeletTurretHVT4,HWSStrangeletTurretHVT4,
HWSChaosTurretHVBlocks,HWSChaosTurretHVBlocks,
HWSAquaChaosTurretHV,HWSAquaChaosTurretHV,
HWSTerraChaosTurretHV,HWSTerraChaosTurretHV,
HWSPyroChaosTurretHV,HWSPyroChaosTurretHV,
HWSObsidianChaosTurretHV,HWSObsidianChaosTurretHV,
HWSLuxChaosTurretHV,HWSLuxChaosTurretHV,
HWSNoxChaosTurretHV,HWSNoxChaosTurretHV,
HWSStrangeletChaosTurretHV,HWSStrangeletChaosTurretHV,
HWSAquaGunHVBlocks,HWSAquaGunHVBlocks,
HWSAquaGunHVT1,HWSAquaGunHVT1,
HWSAquaGunHVT2,HWSAquaGunHVT2,
HWSTerraGunHVBlocks,HWSTerraGunHVBlocks,
HWSTerraGunHVT1,HWSTerraGunHVT1,
HWSTerraGunHVT2,HWSTerraGunHVT2,
HWSPyroGunHVBlocks,HWSPyroGunHVBlocks,
HWSPyroGunHVT1,HWSPyroGunHVT1,
HWSPyroGunHVT2,HWSPyroGunHVT2,
HWSObsidianGunHVBlocks,HWSObsidianGunHVBlocks,
HWSObsidianGunHVT1,HWSObsidianGunHVT1,
HWSObsidianGunHVT2,HWSObsidianGunHVT2,
HWSLuxGunHVBlocks,HWSLuxGunHVBlocks,
HWSLuxGunHVT1,HWSLuxGunHVT1,
HWSLuxGunHVT2,HWSLuxGunHVT2,
HWSNoxGunHVBlocks,HWSNoxGunHVBlocks,
HWSNoxGunHVT1,HWSNoxGunHVT1,
HWSNoxGunHVT2,HWSNoxGunHVT2,
HWSStrangeletGunHVBlocks,HWSStrangeletGunHVBlocks,
HWSStrangeletGunHVT1,HWSStrangeletGunHVT1,
HWSStrangeletGunHVT2,HWSStrangeletGunHVT2,
HWSAquaTurretSVBlocks,HWSAquaTurretSVBlocks,
HWSAquaTurretSVT1,HWSAquaTurretSVT1,
HWSAquaTurretSVT2,HWSAquaTurretSVT2,
HWSTerraTurretSVBlocks,HWSTerraTurretSVBlocks,
HWSTerraTurretSVT1,HWSTerraTurretSVT1,
HWSTerraTurretSVT2,HWSTerraTurretSVT2,
HWSPyroTurretSVBlocks,HWSPyroTurretSVBlocks,
HWSPyroTurretSVT1,HWSPyroTurretSVT1,
HWSPyroTurretSVT2,HWSPyroTurretSVT2,
HWSObsidianTurretSVBlocks,HWSObsidianTurretSVBlocks,
HWSObsidianTurretSVT1,HWSObsidianTurretSVT1,
HWSObsidianTurretSVT2,HWSObsidianTurretSVT2,
HWSLuxTurretSVBlocks,HWSLuxTurretSVBlocks,
HWSLuxTurretSVT1,HWSLuxTurretSVT1,
HWSLuxTurretSVT2,HWSLuxTurretSVT2,
HWSNoxTurretSVBlocks,HWSNoxTurretSVBlocks,
HWSNoxTurretSVT1,HWSNoxTurretSVT1,
HWSNoxTurretSVT2,HWSNoxTurretSVT2,
HWSStrangeletTurretSVBlocks,HWSStrangeletTurretSVBlocks,
HWSStrangeletTurretSVT1,HWSStrangeletTurretSVT1,
HWSStrangeletTurretSVT2,HWSStrangeletTurretSVT2,
HWSChaosTurretSVBlocks,HWSChaosTurretSVBlocks,
HWSAquaChaosTurretSV,HWSAquaChaosTurretSV,
HWSTerraChaosTurretSV,HWSTerraChaosTurretSV,
HWSPyroChaosTurretSV,HWSPyroChaosTurretSV,
HWSObsidianChaosTurretSV,HWSObsidianChaosTurretSV,
HWSLuxChaosTurretSV,HWSLuxChaosTurretSV,
HWSNoxChaosTurretSV,HWSNoxChaosTurretSV,
HWSStrangeletChaosTurretSV,HWSStrangeletChaosTurretSV,
HWSAquaGunSVBlocks,HWSAquaGunSVBlocks,
HWSAquaGunSVT1,HWSAquaGunSVT1,
HWSAquaGunSVT2,HWSAquaGunSVT2,
HWSAquaGunSVT3,HWSAquaGunSVT3,
HWSAquaGunSVT4,HWSAquaGunSVT4,
HWSTerraGunSVBlocks,HWSTerraGunSVBlocks,
HWSTerraGunSVT1,HWSTerraGunSVT1,
HWSTerraGunSVT2,HWSTerraGunSVT2,
HWSTerraGunSVT3,HWSTerraGunSVT3,
HWSTerraGunSVT4,HWSTerraGunSVT4,
HWSPyroGunSVBlocks,HWSPyroGunSVBlocks,
HWSPyroGunSVT1,HWSPyroGunSVT1,
HWSPyroGunSVT2,HWSPyroGunSVT2,
HWSPyroGunSVT3,HWSPyroGunSVT3,
HWSPyroGunSVT4,HWSPyroGunSVT4,
HWSObsidianGunSVBlocks,HWSObsidianGunSVBlocks,
HWSObsidianGunSVT1,HWSObsidianGunSVT1,
HWSObsidianGunSVT2,HWSObsidianGunSVT2,
HWSObsidianGunSVT3,HWSObsidianGunSVT3,
HWSObsidianGunSVT4,HWSObsidianGunSVT4,
HWSLuxGunSVBlocks,HWSLuxGunSVBlocks,
HWSLuxGunSVT1,HWSLuxGunSVT1,
HWSLuxGunSVT2,HWSLuxGunSVT2,
HWSLuxGunSVT3,HWSLuxGunSVT3,
HWSLuxGunSVT4,HWSLuxGunSVT4,
HWSNoxGunSVBlocks,HWSNoxGunSVBlocks,
HWSNoxGunSVT1,HWSNoxGunSVT1,
HWSNoxGunSVT2,HWSNoxGunSVT2,
HWSNoxGunSVT3,HWSNoxGunSVT3,
HWSNoxGunSVT4,HWSNoxGunSVT4,
HWSStrangeletGunSVBlocks,HWSStrangeletGunSVBlocks,
HWSStrangeletGunSVT1,HWSStrangeletGunSVT1,
HWSStrangeletGunSVT2,HWSStrangeletGunSVT2,
HWSStrangeletGunSVT3,HWSStrangeletGunSVT3,
HWSStrangeletGunSVT4,HWSStrangeletGunSVT4,
HWSChaosGunSVBlocks,HWSChaosGunSVBlocks,
HWSAquaChaosGunSV,HWSAquaChaosGunSV,
HWSTerraChaosGunSV,HWSTerraChaosGunSV,
HWSPyroChaosGunSV,HWSPyroChaosGunSV,
HWSObsidianChaosGunSV,HWSObsidianChaosGunSV,
HWSLuxChaosGunSV,HWSLuxChaosGunSV,
HWSNoxChaosGunSV,HWSNoxChaosGunSV,
HWSStrangeletChaosGunSV,HWSStrangeletChaosGunSV,
HWSChaosShieldGeneratorBlocksSmall,HWSChaosShieldGeneratorBlocksSmall,
HWSChaosShieldGeneratorBlocksLarge,HWSChaosShieldGeneratorBlocksLarge,
HWSAquaShieldGeneratorSmall,HWSAquaShieldGeneratorSmall,
HWSAquaShieldGeneratorLarge,HWSAquaShieldGeneratorLarge,
HWSTerraShieldGeneratorSmall,HWSTerraShieldGeneratorSmall,
HWSTerraShieldGeneratorLarge,HWSTerraShieldGeneratorLarge,
HWSPyroShieldGeneratorSmall,HWSPyroShieldGeneratorSmall,
HWSPyroShieldGeneratorLarge,HWSPyroShieldGeneratorLarge,
HWSObsidianShieldGeneratorSmall,HWSObsidianShieldGeneratorSmall,
HWSObsidianShieldGeneratorLarge,HWSObsidianShieldGeneratorLarge,
HWSLuxShieldGeneratorSmall,HWSLuxShieldGeneratorSmall,
HWSLuxShieldGeneratorLarge,HWSLuxShieldGeneratorLarge,
HWSNoxShieldGeneratorSmall,HWSNoxShieldGeneratorSmall,
HWSNoxShieldGeneratorLarge,HWSNoxShieldGeneratorLarge,
HWSStrangeletShieldGeneratorSmall,HWSStrangeletShieldGeneratorSmall,
HWSStrangeletShieldGeneratorLarge,HWSStrangeletShieldGeneratorLarge,
HWSShieldCapacityExtenderBase,HWSShieldCapacityExtenderBase,
HWSShieldRechargeExtenderBase,HWSShieldRechargeExtenderBase,
HWSShieldCapacityExtenderCV,HWSShieldCapacityExtenderCV,
HWSShieldRechargeExtenderCV,HWSShieldRechargeExtenderCV,
HWSShieldCapacityExtenderHV,HWSShieldCapacityExtenderHV,
HWSShieldRechargeExtenderHV,HWSShieldRechargeExtenderHV,
HWSShieldCapacityExtenderSV,HWSShieldCapacityExtenderSV,
HWSShieldRechargeExtenderSV,HWSShieldRechargeExtenderSV,
HWSLiftBlocks,HWSLiftBlocks,
HWSLift1Block,HWSLift1Block,
HWSLift2Block,HWSLift2Block,
HWSLift3Block,HWSLift3Block,
HWSLift4Block,HWSLift4Block,
HWSLift5Block,HWSLift5Block,
HWSButtonLarge,HWSButtonLarge,
HWSButtonSmall,HWSButtonSmall,
HWSPlantCapsule,HWSPlantCapsule,
HWSWarpDriveT3,HWSWarpDriveT3,
HWSBOX,HWSBOX,
HWSLootBox,HWSLootBox,
HWSLootBox2,HWSLootBox2,
HWSLootBox3,HWSLootBox3,
HWSToxicCrate,HWSToxicCrate,
HWSLogistics,HWSLogistics,
HWSChaosAqua,HWSChaosAqua,
HWSChaosPyro,HWSChaosPyro,
HWSChaosTerra,HWSChaosTerra,
HWSChaosLux,HWSChaosLux,
HWSChaosNox,HWSChaosNox,
HWSChaosStrangelet,HWSChaosStrangelet,
HWSCaptureTheFlag,HWSCaptureTheFlag,
HWSBlockFireworkBees,HWSBlockFireworkBees,
HWSBlockFireworkComet2,HWSBlockFireworkComet2,
HWSBlockFireworkComet,HWSBlockFireworkComet,
HWSBlockFireworkCrossover,HWSBlockFireworkCrossover,
HWSBlockFireworkGeorgine,HWSBlockFireworkGeorgine,
HWSBlockFireworkGold,HWSBlockFireworkGold,
HWSBlockFireworkMine2,HWSBlockFireworkMine2,
HWSBlockFireworkMine,HWSBlockFireworkMine,
HWSBlockFireworkMinion,HWSBlockFireworkMinion,
HWSBlockFireworkOsier,HWSBlockFireworkOsier,
HWSBlockFireworkPalm,HWSBlockFireworkPalm,
HWSBlockFireworkPion,HWSBlockFireworkPion,
HWSBlockFireworkRainbow,HWSBlockFireworkRainbow,
HWSBlockFireworkRedPion,HWSBlockFireworkRedPion,
HWSBlockFireworkScarlet,HWSBlockFireworkScarlet,
HWSBlockFireworkViolet,HWSBlockFireworkViolet,
HWSBlockFireworkWhiteFlares,HWSBlockFireworkWhiteFlares,
HWSBlockFireworkBlocks,HWSBlockFireworkBlocks,
HWSBlockElementalStone,HWSBlockElementalStone,
HWSBlockSpikeTrap,HWSBlockSpikeTrap,
